PERMNO,date,BIDLO,ASKHI,PRC,VOL,BID,ASK,CFACPR,OPENPRC
84398,1999/07/15,140.31250,141.37500,141.04688,3348600,140.87500,141.25000,1,140.78125
84398,1999/07/16,140.75000,142.15625,141.81250,2281500,141.81250,141.96875,1,141.25000
84398,1999/07/19,140.56250,142.25000,140.87500,4287000,140.75000,141.25000,1,142.18750
84398,1999/07/20,137.53125,140.40625,137.98438,7060099,137.75000,138.12500,1,140.12500
84398,1999/07/21,137.31250,138.90625,137.82813,4793701,137.75000,138.12500,1,138.09375
84398,1999/07/22,135.46875,138.00000,136.01563,7804099,135.87500,136.25000,1,137.43750
84398,1999/07/23,135.12500,137.00000,135.75000,4603000,135.37500,135.87500,1,136.65625
84398,1999/07/26,134.62500,136.12500,134.75000,4333400,134.62500,135.12500,1,134.87500
84398,1999/07/27,135.37500,137.20313,135.87500,5908501,135.75000,136.12500,1,136.00000
84398,1999/07/28,135.59375,137.31250,136.31250,3955500,136.00000,136.50000,1,136.25000
84398,1999/07/29,133.31250,135.25000,134.40625,7760599,134.25000,134.75000,1,134.93750
84398,1999/07/30,132.56250,135.34375,132.75000,5994301,132.50000,132.87500,1,134.81250
84398,1999/08/02,132.50000,134.75000,133.06250,6065501,132.87500,133.25000,1,132.75000
84398,1999/08/03,131.37500,133.84375,132.43750,5445401,132.25000,132.75000,1,133.71875
84398,1999/08/04,130.43750,133.87500,130.62500,6497901,,,1,132.71875
84398,1999/08/05,128.84375,131.93750,131.81250,10322000,130.81250,132.81250,1,130.87500
84398,1999/08/06,129.50000,132.00000,130.37500,7537699,130.00000,130.50000,1,131.21875
84398,1999/08/09,129.75000,131.79688,130.09375,5565901,129.75000,130.25000,1,130.59375
84398,1999/08/10,127.00000,130.15625,128.65625,9793299,,,1,129.87500
84398,1999/08/11,128.62500,130.53125,130.21875,8003399,130.00000,130.50000,1,129.68750
84398,1999/08/12,129.90625,131.81250,130.14063,7036799,130.00000,130.50000,1,130.68750
84398,1999/08/13,131.12500,133.25000,133.15625,5857701,132.93750,133.25000,1,131.62500
84398,1999/08/16,132.25000,133.96875,133.75000,3927000,133.50000,133.87500,1,133.12500
84398,1999/08/17,133.12500,134.84375,134.62500,4808001,134.56250,134.62500,1,134.43750
84398,1999/08/18,133.25000,134.37500,133.65625,4355500,133.12500,133.62500,1,134.20313
84398,1999/08/19,131.68750,133.23438,132.56250,6448101,132.65625,133.35938,1,132.37500
84398,1999/08/20,132.68750,134.12500,133.90625,3663700,133.75000,134.25000,1,133.06250
84398,1999/08/23,134.65625,136.54688,136.46875,5637801,136.25000,136.75000,1,134.81250
84398,1999/08/24,135.37500,137.96875,136.96875,9279500,,,1,136.06250
84398,1999/08/25,136.15625,138.78125,138.37500,6005301,138.12500,138.50000,1,137.18750
84398,1999/08/26,136.50000,138.42188,136.71875,4322300,136.50000,137.00000,1,138.28125
84398,1999/08/27,135.06250,137.06250,135.06250,6247401,134.87500,135.37500,1,136.87500
84398,1999/08/30,132.00000,135.50000,132.56250,4652000,132.37500,132.75000,1,135.34375
84398,1999/08/31,130.87500,133.75000,132.06250,11453699,131.93750,132.12500,1,132.93750
84398,1999/09/01,132.31250,133.73438,133.68750,6863899,132.67188,134.62500,1,132.93750
